left,top,right,bottom,id,NUMPOINTS
-46.6166679999999971,-8.5332229999999996,-45.6166679999999971,-9.5332229999999996,"1","5"
-46.6166679999999971,-9.5332229999999996,-45.6166679999999971,-10.5332229999999996,"2","1"
-46.6166679999999971,-10.5332229999999996,-45.6166679999999971,-11.5332229999999996,"3","0"
-46.6166679999999971,-11.5332229999999996,-45.6166679999999971,-12.5332229999999996,"4","2"
-46.6166679999999971,-12.5332229999999996,-45.6166679999999971,-13.5332229999999996,"5","0"
-46.6166679999999971,-13.5332229999999996,-45.6166679999999971,-14.5332229999999996,"6","0"
-46.6166679999999971,-14.5332229999999996,-45.6166679999999971,-15.5332229999999996,"7","0"
-46.6166679999999971,-15.5332229999999996,-45.6166679999999971,-16.5332229999999996,"8","0"
-46.6166679999999971,-16.5332229999999996,-45.6166679999999971,-17.5332229999999996,"9","0"
-46.6166679999999971,-17.5332229999999996,-45.6166679999999971,-18.5332229999999996,"10","0"
-45.6166679999999971,-8.5332229999999996,-44.6166679999999971,-9.5332229999999996,"11","3"
-45.6166679999999971,-9.5332229999999996,-44.6166679999999971,-10.5332229999999996,"12","19"
-45.6166679999999971,-10.5332229999999996,-44.6166679999999971,-11.5332229999999996,"13","1"
-45.6166679999999971,-11.5332229999999996,-44.6166679999999971,-12.5332229999999996,"14","17"
-45.6166679999999971,-12.5332229999999996,-44.6166679999999971,-13.5332229999999996,"15","65"
-45.6166679999999971,-13.5332229999999996,-44.6166679999999971,-14.5332229999999996,"16","23"
-45.6166679999999971,-14.5332229999999996,-44.6166679999999971,-15.5332229999999996,"17","0"
-45.6166679999999971,-15.5332229999999996,-44.6166679999999971,-16.5332229999999996,"18","0"
-45.6166679999999971,-16.5332229999999996,-44.6166679999999971,-17.5332229999999996,"19","0"
-45.6166679999999971,-17.5332229999999996,-44.6166679999999971,-18.5332229999999996,"20","0"
-44.6166679999999971,-8.5332229999999996,-43.6166679999999971,-9.5332229999999996,"21","0"
-44.6166679999999971,-9.5332229999999996,-43.6166679999999971,-10.5332229999999996,"22","0"
-44.6166679999999971,-10.5332229999999996,-43.6166679999999971,-11.5332229999999996,"23","4"
-44.6166679999999971,-11.5332229999999996,-43.6166679999999971,-12.5332229999999996,"24","37"
-44.6166679999999971,-12.5332229999999996,-43.6166679999999971,-13.5332229999999996,"25","14"
-44.6166679999999971,-13.5332229999999996,-43.6166679999999971,-14.5332229999999996,"26","0"
-44.6166679999999971,-14.5332229999999996,-43.6166679999999971,-15.5332229999999996,"27","0"
-44.6166679999999971,-15.5332229999999996,-43.6166679999999971,-16.5332229999999996,"28","0"
-44.6166679999999971,-16.5332229999999996,-43.6166679999999971,-17.5332229999999996,"29","0"
-44.6166679999999971,-17.5332229999999996,-43.6166679999999971,-18.5332229999999996,"30","0"
-43.6166679999999971,-8.5332229999999996,-42.6166679999999971,-9.5332229999999996,"31","0"
-43.6166679999999971,-9.5332229999999996,-42.6166679999999971,-10.5332229999999996,"32","0"
-43.6166679999999971,-10.5332229999999996,-42.6166679999999971,-11.5332229999999996,"33","0"
-43.6166679999999971,-11.5332229999999996,-42.6166679999999971,-12.5332229999999996,"34","3"
-43.6166679999999971,-12.5332229999999996,-42.6166679999999971,-13.5332229999999996,"35","2"
-43.6166679999999971,-13.5332229999999996,-42.6166679999999971,-14.5332229999999996,"36","0"
-43.6166679999999971,-14.5332229999999996,-42.6166679999999971,-15.5332229999999996,"37","0"
-43.6166679999999971,-15.5332229999999996,-42.6166679999999971,-16.5332229999999996,"38","0"
