,ACRE,ALAGOAS,AMAZONAS,AMAPA,BAHIA,CEARA,DISTRITO FEDERAL,ESPIRITO SANTO,GOIAS,MARANHAO,MINAS GERAIS,MATO GROSSO DO SUL,MATO GROSSO,PARA,PARAIBA,PERNAMBUCO,PIAUI,PARANA,RIO DE JANEIRO,RIO GRANDE DO NORTE,RONDONIA,RORAIMA,RIO GRANDE DO SUL,SANTA CATARINA,SERGIPE,SAO PAULO,TOCANTINS
1575428400,0.0,0.0,208.0,0.0,290.0,0.0,0.0,0.0,29.0,3.0,336.0,538.0,633.0,8.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1090.0
1575429000,0.0,0.0,204.0,0.0,247.0,0.0,0.0,0.0,46.0,21.0,298.0,412.0,751.0,5.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1212.0
1575429600,1.0,0.0,176.0,0.0,230.0,0.0,0.0,0.0,51.0,22.0,264.0,378.0,778.0,1.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1167.0
1575430200,0.0,0.0,126.0,0.0,223.0,0.0,0.0,0.0,62.0,30.0,323.0,456.0,759.0,3.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1116.0
1575430800,0.0,0.0,92.0,0.0,234.0,0.0,0.0,0.0,55.0,26.0,283.0,589.0,771.0,1.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,16.0,1125.0
1575431400,0.0,0.0,76.0,0.0,211.0,0.0,0.0,0.0,62.0,41.0,266.0,533.0,735.0,1.0,0.0,0.0,1.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1193.0
1575432000,0.0,0.0,50.0,0.0,180.0,0.0,0.0,0.0,57.0,69.0,296.0,401.0,765.0,8.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1215.0
1575432600,0.0,0.0,48.0,0.0,195.0,0.0,0.0,0.0,63.0,34.0,239.0,227.0,847.0,8.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1416.0
1575433200,2.0,0.0,43.0,0.0,172.0,0.0,0.0,0.0,69.0,13.0,234.0,122.0,692.0,8.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1271.0
1575433800,0.0,0.0,34.0,0.0,175.0,0.0,0.0,0.0,71.0,17.0,238.0,78.0,602.0,9.0,0.0,0.0,7.0,208.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,994.0
